Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,RelevantEducationLevel,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,InterviewScore,ResumeScore,RequestedBenefits,TotalWorkingYears,PreferredSkills,YearsAtCurrentCompany,RelevantExperience,JobType,SalaryExpectation,Ethnicity,Gender,HIRED
26,Travel_Rarely,Sales,4,Master,Marketing,Medium,Intermediate,Sales Executive,Single,4,Yes,Low,Average,Yes,5,Medium,8,2,full_time,Average,minority,Female,NO
45,Travel_Rarely,Research & Development,20,College,Medical,High,Experienced,Healthcare Representative,Married,0,Yes,Low,Average,No,21,Medium,20,7,full_time,Average,minority,Male,NO
51,Travel_Rarely,Research & Development,7,Master,Medical,Medium,Intermediate,Manufacturing Director,Married,2,No,Low,High,No,10,Medium,1,0,full_time,High,minority,Male,NO
23,Travel_Rarely,Research & Development,9,Below College,Medical,Medium,Entry Level,Laboratory Technician,Married,1,No,Low,Average,Yes,5,Medium,4,2,full_time,High,minority,Female,NO
34,Travel_Rarely,Sales,15,College,Life Sciences,Medium,Intermediate,Sales Executive,Married,1,Yes,Low,Outstanding,No,9,Medium,9,7,contract,Average,non-minority,Male,YES
42,Travel_Rarely,Research & Development,17,College,Life Sciences,Very High,Intermediate,Research Scientist,Single,3,Yes,Low,High,No,10,Low,0.3,2,contract,Average,minority,Female,NO
39,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Medium,Entry Level,Laboratory Technician,Single,2,Yes,Low,Average,No,11,Medium,1,0,full_time,High,minority,Female,NO
32,Travel_Frequently,Sales,5,College,Life Sciences,High,Intermediate,Sales Executive,Married,1,No,Average,Outstanding,Yes,10,High,10,8,full_time,Average,non-minority,Male,YES
31,Travel_Rarely,Research & Development,26,Below College,Life Sciences,High,Entry Level,Research Scientist,Divorced,1,No,Low,Outstanding,Yes,5,Low,5,2,contract,High,minority,Female,NO
39,Travel_Rarely,Research & Development,1,Bachelor,Medical,Very High,Experienced,Healthcare Representative,Divorced,0,No,Outstanding,Low,Yes,19,Medium,18,10,full_time,High,non-minority,Male,YES
53,Non-Travel,Research & Development,1,Master,Medical,Medium,Experienced,Manufacturing Director,Married,4,Yes,Low,Outstanding,Yes,27,Medium,3,2,full_time,High,minority,Female,NO
37,Travel_Rarely,Human Resources,14,Bachelor,Human Resources,High,Entry Level,Human Resources,Married,4,No,Average,Average,Yes,8,Medium,5,2,full_time,Average,non-minority,Male,YES
41,Non-Travel,Research & Development,2,Master,Other,Medium,Intermediate,Healthcare Representative,Single,2,Yes,High,Low,No,10,High,8,7,full_time,High,non-minority,Female,YES
52,Travel_Rarely,Research & Development,6,College,Technical Degree,High,Intermediate,Research Scientist,Divorced,3,Yes,Low,Average,No,18,High,10,9,contract,Average,minority,Male,YES
29,Travel_Rarely,Research & Development,6,Below College,Life Sciences,High,Entry Level,Research Scientist,Married,1,No,High,Low,Yes,10,High,10,8,full_time,Average,minority,Male,YES
32,Travel_Rarely,Sales,8,College,Technical Degree,Medium,Intermediate,Sales Executive,Married,1,Yes,Low,Outstanding,No,13,Medium,0,12,contract,Low,minority,Female,NO
29,Travel_Rarely,Human Resources,6,Below College,Medical,Medium,Entry Level,Human Resources,Married,1,No,Average,Outstanding,No,1,High,1,0,full_time,High,non-minority,Female,NO
25,Travel_Rarely,Sales,19,College,Marketing,Medium,Entry Level,Sales Representative,Married,1,Yes,Low,High,Yes,1,Medium,1,0,full_time,High,minority,Female,NO
47,Travel_Frequently,Sales,27,College,Life Sciences,Very High,Intermediate,Sales Executive,Single,4,Yes,High,Outstanding,No,8,Medium,5,4,full_time,Average,non-minority,Female,YES
33,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,Medium,Entry Level,Research Scientist,Married,1,No,High,Average,No,9,High,9,8,full_time,High,minority,Female,NO
43,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Low,Experienced,Research Director,Married,3,No,Outstanding,Average,Yes,25,Medium,8,7,full_time,Average,non-minority,Male,YES
34,Travel_Frequently,Human Resources,11,Bachelor,Life Sciences,Medium,Intermediate,Human Resources,Married,4,No,Average,Outstanding,No,14,Medium,10,9,full_time,Average,non-minority,Male,YES
